	GO_ADRENAL_GLAND_DEVELOPMENT	GO_AMINOGLYCAN_CATABOLIC_PROCESS	GO_BICARBONATE_TRANSPORT	GO_CARDIAC_MUSCLE_CELL_PROLIFERATION	GO_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	GO_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	GO_COLLAGEN_CATABOLIC_PROCESS	GO_CONNECTIVE_TISSUE_DEVELOPMENT	GO_EAR_DEVELOPMENT	GO_EMBRYO_IMPLANTATION	GO_ENDOCHONDRAL_BONE_MORPHOGENESIS	GO_ENDOCRINE_HORMONE_SECRETION	GO_EXTRACELLULAR_MATRIX_DISASSEMBLY	GO_IMMUNE_RESPONSE_TO_TUMOR_CELL	GO_INCLUSION_BODY_ASSEMBLY	GO_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM	GO_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM	GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_VIRAL_RELEASE_FROM_HOST_CELL	GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION	GO_ODONTOGENESIS	GO_POSITIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GO_PROTEIN_ACTIVATION_CASCADE	GO_PROTEIN_K11_LINKED_UBIQUITINATION	GO_REGULATION_OF_GLOMERULUS_DEVELOPMENT	GO_REGULATION_OF_MESODERM_DEVELOPMENT	GO_REGULATION_OF_RESPONSE_TO_TUMOR_CELL	GO_REPLACEMENT_OSSIFICATION	GO_RESPONSE_TO_ATP	GO_TROPHOBLAST_CELL_MIGRATION	HALLMARK_ANGIOGENESIS
TCGA.05.4384.01A	0.132393299579072	0.177365829071025	-0.0145467956328861	0.00732695311395839	0.0850035844377456	0.329153209691962	0.164453172107351	0.0689350796839062	-0.00892850553728826	0.256489007419085	0.0545464348761975	-0.000665336160026428	0.169353244158655	0.0891087846801144	0.280759563866865	0.290831548126681	0.0772795135956309	-0.0120219371822898	0.0507038775123442	0.0590405628876637	0.0909360585661068	-0.0253148497417342	0.24522438632837	0.264343610982935	0.0434492747060644	0.099066970206091	0.177452065649843	0.267622488826207	0.0253095516231283	-0.0933981485268857	0.0245274207412443	0.0420821142287759	-0.0492275018156375	0.244421564814086	0.256080404785781
TCGA.05.4390.01A	0.136709750381692	0.143892454264741	-0.0498676454712414	0.000472263840140657	0.0789688571731243	0.252695256988553	0.185755728398611	0.080167823717805	0.0138186514022188	0.259719233736448	0.0229980788885819	0.00867844226873961	0.195301845636858	0.113243862765553	0.296057781666303	0.331150555941577	0.0789778320445658	0.0315886520840096	0.0189377346138521	0.0354728777430311	0.118996428438993	-0.0696408772687242	0.190384705451846	0.276851658493499	0.0722872636248827	0.0555222966108216	0.198647444529337	0.312746576017106	-0.0593164538325505	0.0104241030263882	0.0702282535873654	-0.021863419941876	-0.00640893843068035	0.272830715835041	0.330521838629873
TCGA.05.4398.01A	0.0794748864742148	0.157225863020496	-0.106008503965172	-0.00473269314650385	0.113879207416328	0.311332686726016	0.189710300030262	0.0665082733812766	-0.00675778684000702	0.259168907899269	0.0568650733061933	-0.0414686739998165	0.200342540924472	0.146091908988381	0.290853465029803	0.304733587437283	0.14437032768624	-0.0230419405612959	0.0615360751578742	0.0756793902762047	0.0498275074450102	-0.0553811485416319	0.220220110642172	0.278062480080373	0.0464293009572773	0.165939936076904	0.0524937874922015	0.333407690408987	-0.0612948230433266	-0.102062170403418	0.0946981085728184	-0.00238596130274901	-0.019243827731199	0.229610137080923	0.330077678892064
TCGA.05.4402.01A	0.145572131173694	0.187697787034396	-0.0974603610462916	0.016039671776029	0.136216874207214	0.347627122061004	0.146633769262519	0.088805014061621	0.0197116981212143	0.274226045916571	0.0836602553144488	-0.0713463079953939	0.18458724709421	0.113767503160281	0.322783626461289	0.327535919331997	0.0521225773013683	0.00113490004633489	0.0554853916377891	0.0969909519479062	0.074934718967246	-0.0552003651961783	0.251616460335538	0.271875145657243	0.0670503340093251	0.0952173745097819	0.0700293341272289	0.29913932279019	-0.0600406360824626	0.00897709913320368	0.0445893828570765	0.0283316282309203	-0.000390975643103725	0.226436755536507	0.359763824349656
TCGA.05.4425.01A	0.131204268541045	0.19952005696012	0.00939948092369846	0.0811035839813792	0.163184736903089	0.347873578243853	0.233706906868008	0.107504485896568	0.0480048676838752	0.265214135243421	0.116370783111211	-0.0423006164122025	0.211159693094902	0.175310089851508	0.312043937082967	0.333386898045826	0.120274580940884	-0.0300672731556218	0.124434971755638	0.117060510068905	0.120519925937821	0.0273944196775369	0.244918038859723	0.274358698390854	0.105462351723765	0.158750294477478	0.112865233485868	0.288326199018825	-0.000880143734511722	0.0543948128581949	0.0944584878506855	0.0932664280871703	0.0323677761007452	0.270025258845477	0.341061173852737
TCGA.05.4427.01A	0.0859580767250025	0.145259436653883	-0.121244050077201	0.0463155647264232	0.109623798499207	0.31352125223325	0.130656506530506	0.076772286654067	0.00688400068596106	0.247053178922715	0.0704743493133366	-0.0871408017994205	0.162184000945625	0.146992779160634	0.271118776790911	0.293784659336268	0.0925570573890511	-0.0244670365813978	0.028173328729147	0.0841242254708073	0.0995583052004078	0.0657513334960823	0.224646761323712	0.258541010624412	0.0501620631998955	0.132586580720122	0.0862744274891475	0.334904280449789	-0.07143574443858	-0.0618125962770443	0.0892058955560953	0.0348980175339478	-0.0344760838169046	0.235565659161168	0.326056520682105
TCGA.05.4432.01A	0.174222539052021	0.166849168825433	-0.0407223217108964	0.00873153982059213	0.0812252853391248	0.329791279328688	0.148195717032892	0.0791154217168052	0.020563578007581	0.266121597065181	0.0715202368073739	-0.0158707721552772	0.166551564318287	0.128593307853804	0.310901382853937	0.342420988000699	0.0570289558412992	0.0182578730150487	0.0218337712622494	0.0349126493036814	0.118297645505327	-0.031928622894207	0.196126894526343	0.274046263732608	0.0397980832728793	0.0845597434099931	0.113331732051242	0.31093717440701	-0.0878967549735025	-0.0335048980958538	0.046833412874263	0.0583143183361109	0.0309830539640674	0.2250640740177	0.322056714881096
TCGA.05.5428.01A	0.000417248908504587	0.132421053484477	-0.0518898171280554	-0.019170005729187	0.0892715694905086	0.285175425302236	0.158188539042608	0.0276286076277853	-0.0221551546075858	0.221415761798966	0.0360542802196649	-0.0530227036501493	0.153832898905507	0.128986219773868	0.208500931045444	0.311807129200243	0.0873673003902323	-0.0469999131428776	0.0524763893381666	0.0637607732878165	0.032453057422419	-0.109564765875655	0.156913079142487	0.346908048918118	0.0057304436344375	0.10535854661193	0.0746196294431034	0.345118586570037	-0.0932777151851529	-0.0675615979846616	0.0559814946433767	0.0179424603350343	-0.0544866710221355	0.209703548973736	0.209216071709211
TCGA.38.4628.01A	0.0851722304901276	0.187776147314676	-0.0555291101983964	-0.00332148416611293	0.0811269286363069	0.295632515477476	0.166730974557494	0.074266689902438	0.0225886551270957	0.221259248939491	0.067400079722593	-0.0200782276799627	0.167511912318392	0.125589507480108	0.298368629469064	0.328300625765814	0.0381320991746658	0.00250762160278256	0.0361364559794549	0.0345098442824766	0.0758422860509399	-0.0729694246444945	0.190516622973876	0.286450688869793	0.0364577504937073	0.124300281691525	0.0892261855690553	0.303375785835772	-0.0538906381256298	-0.0384833437652352	0.072673039491977	0.0524244924825489	-0.0552711589107786	0.217613595603723	0.324185012974316
TCGA.38.6178.01A	0.184647255816887	0.192628912560552	-0.0926425864004708	0.0391387644055331	0.147173199567267	0.366851524829234	0.223671605336072	0.107880455825785	0.0158599543493284	0.287835653259784	0.120184805287438	-0.0650224480865842	0.218320694281752	0.114050776659627	0.297954396430655	0.32994448783326	0.0759260597751446	0.0211613031806069	0.08909521018785	0.144884940409506	0.0624521464106477	0.00658597283210978	0.251638447362991	0.253016808091462	0.0813206430014249	0.153362201592158	0.0864774576489393	0.272737041167252	-0.000792952131783208	-0.0445660362490611	0.0476701750746447	0.108715470616517	0.00848926636578689	0.256214646413552	0.333543778911299
TCGA.38.7271.01A	0.13768742063773	0.204039649701256	-0.0393433938954562	0.0497905607579234	0.109124499710585	0.334864125215043	0.17782658475743	0.0958533021084672	0.0169989628883253	0.285947243173092	0.0906425388154881	-0.0430802668229262	0.204397412727967	0.150851238090667	0.300599612330962	0.320561872475406	0.125231432502495	-0.00368646125848523	0.0975525737759658	0.0912321133934809	0.0991836522712307	0.0399246612976437	0.22978111452825	0.223457956977784	0.0791869280280186	0.270005747349711	0.217097816180427	0.281264096758133	0.00880924929847087	-0.0328744988905364	0.075709393259704	0.0717881233433958	0.0321253763643457	0.223773309181355	0.333200157991268
TCGA.44.2659.01A	0.111726977213756	0.209130246145496	-0.0424357454706813	0.0350304803774903	0.0880783539155768	0.32279652965102	0.156885880976496	0.0862520119424607	-0.00116527094743753	0.26207372372745	0.0623320354387142	-0.0655591120629517	0.161664637271938	0.129028820610996	0.279043432419364	0.311530176817796	0.0958500166088777	-0.05291448891754	0.0307167392402813	0.0945470197390568	0.107481306732362	0.0161454410326507	0.264508837605821	0.217793815706744	0.0550872913537726	0.153263422841182	0.0889100299389897	0.272952761468059	-0.049587824891085	-0.0807742543392761	0.0480551847464536	0.030082963367628	-0.0295583632092036	0.233422665775439	0.31784096367937
TCGA.44.4112.01A	0.184567792027283	0.122316274687991	-0.00681346837278123	0.0524112259716065	0.0999909470216441	0.328180643032123	0.183500663299323	0.0745065898470088	0.0122572062575795	0.250005027233642	0.0425813446499028	-0.0440997386143749	0.197049875600244	0.155587079503658	0.257753367415676	0.331184240964387	0.108488130386053	0.0123796398272883	-0.0120379437102119	0.118965744420256	0.0399381689222408	-0.0705434540681312	0.191652063549088	0.30324444031055	0.0435122003074282	0.0856950282021868	0.0571305474127951	0.321001448589676	-0.102614748869035	-0.0337672622880152	0.0913855365148957	-0.0117191519958561	-0.0191241032545372	0.251705486592493	0.331808985294633
TCGA.44.4112.01B	0.22807909560877	0.149082254662645	-0.0203960285591289	0.115903725093044	0.0953754291617573	0.332844466405422	0.120467539438918	0.116314685056618	0.0551298050490319	0.263599077029346	0.0756188199267616	0.00504709248549358	0.173994738078443	0.12639049884614	0.244820352965845	0.355839255730193	0.161728211633364	0.0187702440791141	-0.04755732604707	0.172613950887418	0.0886787744144268	0.0551840966312676	0.194809759912075	0.238170622482007	0.07605747592358	0.093084405614347	0.118213074008193	0.271440287134964	-0.000868575792057992	-0.0142405398057262	0.0874879015457698	0.0366940670633516	7.79109917611617e-05	0.275651680915914	0.368402717692266
TCGA.44.6146.01A	0.130709498836528	0.127381228736139	0.0400441335438825	0.0717003899639405	0.107775872203746	0.303219090057108	0.0778046935143766	0.0592969523099394	0.0199435162990693	0.210192179039821	0.0697596920215862	-0.0772610111346691	0.10211792165047	0.0809754956715066	0.309532395515951	0.336504200231236	0.0857001265590057	0.00843541838046051	0.0797595778155228	0.12366521991455	0.163505777918462	0.019574533050813	0.268435438485437	0.245600461642811	0.0572318668263678	0.137838275011288	0.0875940174440793	0.237721683395473	-0.0475813104609153	-0.0982349402804711	0.00508730389611573	0.0359749482744575	-0.0288217108590648	0.244239511439955	0.235559821211879
TCGA.44.6146.01B	0.201789382681475	0.124323603569724	0.00225489228002181	0.139036767005218	0.104798270268205	0.236801237348935	0.0633617102377477	0.100414684968851	0.0594281989341469	0.214242378007036	0.0698869785608812	-0.0138879853376044	0.119178567098951	0.0747235185381648	0.239515975512903	0.341919014555739	0.132753280169217	0.0596706340037604	0.0556699183131652	0.261352861604916	0.150298040868541	0.0630124071088952	0.209263077046948	0.176272306030875	0.0919859244180249	0.0777645591459044	0.104815199948749	0.216361175970225	-0.0033156846480039	-0.0270900980574083	0.0359841177814955	0.0394806273480334	-0.0138517697844674	0.261615882294587	0.325531812249621
TCGA.44.6774.01A	0.229389752979513	0.229447904165763	-0.0828463195778555	0.100735264700748	0.195122052614593	0.286026245433388	0.277627794850517	0.158688084022331	0.053300076709737	0.319253255753152	0.140332909540215	0.0546176611662953	0.256075655396878	0.119521339079987	0.286439232328945	0.356531890960739	0.0865417926482114	-0.0239550024001637	0.113372557393761	0.135376578640532	0.101583742487182	0.0283552250974216	0.212701783081628	0.244889618321766	0.12171702232015	0.134564513708423	0.119699522542496	0.284914782487755	0.0340169760042264	-0.0419324211958699	0.0376329789240329	0.0966550931291224	0.00744702208499554	0.288178845034678	0.413567365795785
