	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory.Tregs.	T.cells.gamma.delta	NK.cells.resting	Macrophages.M1	GEP	IMPRES	SZABO	TIDE	TMB	TCR_Richness	TCR_Evenness	TCR_Shannon	BCR_Richness	BCR_Evenness	BCR_Shannon
TCGA.05.4384.01A	0	0	4.04724080405623e-05	0.000438645740454668	0	0	3.60938787651324e-05	0	0	0	0.000151021173873951	17.2370774636478	10	-0.501476082514552	-5.51191832007538	163	1	1	1	1	1	1
TCGA.05.4390.01A	0	0	0.000559211020418476	0	0	0.000179254397933008	0.000149707375303155	0	0	0	0.000151397318800186	13.8724241967939	9	-0.910160585822233	-4.22282097152387	742	1	1	1	1	1	1
TCGA.05.4398.01A	0.000401854532128328	0	0	0.000327908784625142	0	0.000404911632999558	0.000544175264694719	0.000215351359207333	0	0.000118625284536503	0.000699186207838692	22.9813025212772	7	0.327125759975915	-4.08492763147505	963	1	1	1	1	1	1
TCGA.05.4402.01A	0.00016990843439888	0	0.00305620403388406	4.87594831876171e-06	0	0	0.000217897651030921	0.00043816663111781	0	0	0.000528445545122418	20.4065848342544	9	0.056900188094079	-3.56003339588283	151	1	1	1	1	1	1
TCGA.05.4425.01A	0	0.000166281808326562	0	5.52013921033835e-05	0	0.000132861447322895	0.000183467961011889	0.00015882989978751	0	0	0.000302263696953231	22.5272303726868	8	0.140272846603687	-3.44412455240989	59	1	1	1	1	1	1
TCGA.05.4427.01A	6.44919748350197e-05	0	0.00329991564320247	0.000238628706853193	0	0.000299060048859706	0.000373452364318405	0	0	0	0.000626758609905348	22.1331609481012	8	0.962444194491347	-3.3579972575664	1310	1	1	1	1	1	1
TCGA.05.4432.01A	0	0	0.00373570989329998	0.00050848525825859	0	6.81038892553313e-05	0.000425417276211867	0.000156257078255614	0	0	0.000985352448407198	22.9388738210397	11	0.555085699784422	-3.18703172545591	770	1	1	1	1	1	1
TCGA.05.5428.01A	0.000102364764137127	0	2.07237671054555e-05	3.43561642789932e-05	0	0	7.89611572949399e-05	0	9.1817626058216e-06	0	7.96868572386492e-05	10.5928925108315	7	-0.918727678440428	-3.1700564532011	498	1	1	1	1	1	1
TCGA.38.4628.01A	0.000114459606362425	0	0	0	0	0	9.70754047266617e-06	6.06933412300697e-05	0	0	2.81736956756535e-05	11.0369088146608	9	-1.85788557548929	-3.1118994868433	165	1	1	1	1	1	1
TCGA.38.6178.01A	0.000153736401034847	0	0.00183421027989435	0	0	0	0	0	0	0	0.000207863268714233	19.8717653304181	8	-0.422449662327732	-3.11070987586034	82	1	1	1	1	1	1
