Gene	PD1-TPM_Z-ANOVA	TCGA-TPM_Z-ANOVA	PD1-TPM_Z-ANOVA-Sig	TCGA-TPM_Z-ANOVA-Sig	V1	V2
A1BG	0.685200691490921	0.323422590117118	0	0	 	 
A1BG-AS1	0.276456804324179	0.293407271201833	0	0	 	 
A1CF	0.465559162231147	0.444196205711804	0	0	 	 
A2M	0.655221736428345	0.707013762839332	0	0	 	 
A2M-AS1	0.664742495546961	0.908504245760138	0	0	 	 
A2ML1	0.941341317958722	0.923917236038437	0	0	 	 
A4GALT	0.513137594147427	0.882106377552299	0	0	 	 
A4GNT	0.272137941630087	0.824884061089315	0	0	 	 
AAAS	0.875655032446317	0.755467032868698	0	0	 	 
AACS	0.424358196762877	0.765410133528982	0	0	 	 
AACSP1	0.782325565781674	0.605655753200172	0	0	 	 
AADAC	0.352598639530757	0.54385973139266	0	0	 	 
AADACL2	0.436919097396539	0.605368260291421	0	0	 	 
AADACL3	0.817520535677499	0.755403922785595	0	0	 	 
AADACP1	0.0606298573471611	0.789305913004789	0	0	 	 
AADAT	0.00694792735641563	0.441837849997122	1	0	 	 
AAGAB	0.757969585003532	0.928515887091696	0	0	 	 
AAK1	0.462362311125712	0.408733301298869	0	0	 	 
AAMDC	0.812625833080949	0.0785940686587037	0	1	 	 
AAMP	0.463111269149436	0.304393155519714	0	0	 	 
AANAT	0.423489379695686	0.681040546634718	0	0	 	 
AAR2	0.803484512036952	0.208707195057383	0	0	 	 
AARD	0.686848200641831	0.87209263395016	0	0	 	 
AARS2	0.459766876224175	0.284890830424445	0	0	 	 
AARSD1	0.328523687047741	0.968691555644338	0	0	 	 
AASDH	0.147796827418155	0.64389098935928	0	0	 	 
AASDHPPT	0.201957588579796	0.748426783324198	0	0	 	 
AASS	0.263123555015195	0.157389904360731	0	0	 	 
AATBC	0.390518416561646	0.461146926719335	0	0	 	 
AATF	0.135960757398578	0.682778365094761	0	0	 	 
AATK	0.525658101620802	0.649592205863374	0	0	 	 
ABALON	0.142348939626469	0.564745662108921	0	0	 	 
ABAT	0.256603260938796	0.610000669262285	0	0	 	 
ABCA1	0.734533528490911	0.677478016594429	0	0	 	 
ABCA10	0.574727744626606	0.549896771602687	0	0	 	 
ABCA11P	0.495004883101735	0.883098337763571	0	0	 	 
ABCA12	0.662001284510078	0.482586679193637	0	0	 	 
ABCA13	0.461079378130694	0.947982820371563	0	0	 	 
ABCA17P	0.746208605268747	0.564422263021465	0	0	 	 
ABCA2	0.811628733213927	0.375630250159308	0	0	 	 
ABCA3	0.586641004962789	0.788986356194454	0	0	 	 
ABCA4	0.689106775101816	0.659232226721975	0	0	 	 
ABCA5	0.262573023807052	0.275228517073739	0	0	 	 
ABCA6	0.301284476236621	0.838271628632973	0	0	 	 
ABCA7	0.124316894427835	0.323395061433534	0	0	 	 
ABCA8	0.870171135698052	0.797975975240048	0	0	 	 
ABCA9	0.980229770228168	0.83559750318776	0	0	 	 
ABCB1	0.347695801893142	0.676904159349574	0	0	 	 
ABCB10	0.570293121648231	0.847271582064071	0	0	 	 
ABCB11	0.38380920102048	0.839177226257315	0	0	 	 
ABCB4	0.31327116055075	0.232075348220132	0	0	 	 
ABCB5	0.565408163042328	0.500896699205862	0	0	 	 
ABCB6	0.974771054763141	0.0954875266184633	0	1	 	 
ABCB7	0.894838003955405	0.162871077233635	0	0	 	 
ABCB8	0.578032707377601	0.143308634149091	0	0	 	 
ABCB9	0.366746920455338	0.0270510682598869	0	1	 	 
ABCC1	0.836183977478519	0.216338805575381	0	0	 	 
ABCC10	0.218562411929561	0.864201111016523	0	0	 	 
ABCC11	0.383305333323454	0.153353434049765	0	0	 	 
ABCC12	0.929988934045111	0.993040370045273	0	0	 	 
ABCC2	0.246388129057677	0.181268036688845	0	0	 	 
ABCC3	0.826848024682793	0.307068413528202	0	0	 	 
ABCC4	0.0304548192860657	0.87555482297269	0	0	 	 
ABCC5	0.35888816000562	0.155689343373809	0	0	 	 
ABCC6	0.470346047088915	0.5297902931997	0	0	 	 
ABCC6P1	0.173682406777725	0.411716276026669	0	0	 	 
ABCC6P2	0.0377440401117545	0.5536048802818	0	0	 	 
ABCC8	0.648270780086786	0.90578503694325	0	0	 	 
ABCC9	0.564689308284034	0.978129297514771	0	0	 	 
ABCD1	0.0773260413535665	0.43036763198861	0	0	 	 
ABCD2	0.464901410477199	0.672525751205414	0	0	 	 
ABCD3	0.294640339957756	0.874079971228977	0	0	 	 
ABCD4	0.805493040874838	0.919347291514031	0	0	 	 
ABCE1	0.792356190244453	0.591857376896786	0	0	 	 
ABCF1	0.403349639456252	0.611150104944992	0	0	 	 
ABCF2	0.953317629162979	0.545682985840481	0	0	 	 
ABCF3	0.594857611296186	0.812397756131206	0	0	 	 
ABCG1	0.665571653431669	0.507774371159485	0	0	 	 
ABCG2	0.140115805270216	0.21495422704159	0	0	 	 
ABCG4	0.0322955392726941	0.65971958653016	0	0	 	 
ABCG5	0.188139666363746	0.394766510100583	0	0	 	 
ABCG8	0.927288368603541	0.907176863964075	0	0	 	 
ABHD1	0.666439782338857	0.661326340011736	0	0	 	 
ABHD10	0.0378910146953977	0.419927577316884	0	0	 	 
ABHD11	0.286165115745862	0.759805758024344	0	0	 	 
ABHD11-AS1	0.18288792047967	0.91018219538558	0	0	 	 
ABHD12	0.821963287671408	0.42937200981135	0	0	 	 
ABHD12B	0.613735998988459	0.185760927804124	0	0	 	 
ABHD13	0.989743593282168	0.779914630765591	0	0	 	 
ABHD14A	0.480615844160881	0.967997727961173	0	0	 	 
