,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory.Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
p227,0,0,4.26001434742513e-05,0,0,0,5.26438531993005e-05,0.000134887330506224,0,0,0,6.25747331911841e-05,1.98355438916593e-05,0.000235410473087266,0,0.000542322979933164,5.85843290787209e-05,4.24753788382516e-05,0,4.67707881791707e-05,8.07566360306612e-05,2.77448862483429e-05
p359,0,0,0,0.000109894320030535,0,9.9903694176779e-05,0.000283092083175292,0,0,1.12371479153468e-06,5.18704954653984e-05,6.62776730033877e-06,6.80666288760667e-06,0.000741600793721731,0.000174883593114633,0.000785337478373596,0.000100414040600022,0,0,0,0,0
p533,0,0.000191880070369312,0,0.00012147511727411,0.000215516542006459,0,7.83587806231924e-05,6.23381310358229e-05,0,0,0,0,0.000103056469950963,0.000234127248546918,0,0.00108998431037609,3.92222742404954e-06,0.000142326011695424,0,1.97953993424688e-07,5.27159587355346e-06,0
p149,0,4.08004148187785e-05,0,0.000106687177897786,0.000235288452589994,0,0.000199987601839217,0,0,0,0,0,0,0.000359915470459754,0.000176865728524599,0.000336211340253012,0,0,7.43905505266389e-05,0,1.88943165537694e-05,0
p160,4.95980697724325e-05,0,0,0.000339971824995904,0.000182713705251568,0,0.000114332765563505,0,0,0,0,4.50579332230729e-05,0,0.000411617316158862,6.32059503630502e-05,0.000495232471667629,0.000352395247036277,0,0,0.000132972112066837,0,2.09360092863258e-05
p2,9.05766899291607e-05,4.26168768722713e-06,0,0,0,0.000118641735635256,0.000154375565830533,0,0,0,0,6.66231674334083e-05,8.50740335343354e-05,0.000322123505013634,0.000157265719528733,0.000605400930116091,0,0.000247198586179028,0,0.000164001864569967,0.000152222830187835,1.31247739479384e-05
p261,0,0,4.7608782130488e-05,4.46191632731487e-05,6.16401541399307e-05,0.000285817228888257,7.16307648816705e-05,0,0,0,5.24503641875384e-06,0,6.45896279559912e-05,0.000498217095332138,0.000116903633174354,0.000709525538648231,0,0,0.00016469364533443,1.04416579143345e-05,0,8.0998309573409e-07
p486,0.000102834368296844,0,0,0,0,0.000142235196202647,0,0,0,0,0,0.00013479748353327,3.1747402490345e-05,0.000276491473051813,0.000256782304911456,0.000749390316017207,9.48271562121763e-05,0,0,0.00109981397466932,0,1.53359733221089e-05
p367,0,6.52195689064863e-05,0,4.03611105599263e-05,0,1.22456038400142e-05,6.61526491450245e-05,0.00026425448752199,3.2823308268199e-05,0,0.000114666660473869,0,7.94097721150105e-06,0.00104021078137018,8.22245980562109e-05,0.000642164091791121,6.22910969076064e-05,4.20167108907862e-05,0,0,6.95990299912213e-05,0
p455,0.000181120438988194,8.21744567607497e-05,0,0,0,0.000230439826918836,0,0,0,0,5.63186043509642e-05,0,0,0.00048680817066166,2.01308312942947e-05,0.000629503716097455,0,0,0,8.85822022046098e-05,4.11418935049908e-05,0
