Feature,p227,p359,p533,p149,p160,p2,p261,p486,p367,p455,p523,p276,p393,p385,p168,p75,p42,p416,p311,p316,p30,p494,p467,p376,p13,p256,p141,p262,p197,p52,p445,p291,p532,p55,p332,p214,p157,p428,p51,p457,p324,p409,p208,p340,p16,p54,p108,p460,p279,p358,p90,p357,p435,p405,p150
GO_ADRENAL_GLAND_DEVELOPMENT,0.145454366321274,0.135514169674649,0.109398618187451,0.141612577409146,0.111607361856404,0.141387930735812,0.18252206526832,0.147928780140564,0.162826209780431,0.191841490633848,0.177851467766506,0.13765544801808,0.134207238609411,0.131831828246187,0.154198900937162,0.1773869517915,0.115874282803941,0.169605493114993,0.157516778518932,0.14186863682061,0.134235923409589,0.162346004081476,0.128278638637544,0.181971147496102,0.158724111841167,0.139206990684869,0.120673315352575,0.10792651245624,0.0970497422545473,0.191720034318396,0.0945568809798458,0.0954808676787642,0.168041784484136,0.181010161808773,0.133488344625103,0.108482832648033,0.12098805589243,0.0992279971688297,0.147331317371556,0.145102910315254,0.198979149266485,0.196993686444919,0.131550278489578,0.160108608350887,0.139462933419494,0.133776334010521,0.10387279728267,0.136059654829539,0.184438190265812,0.150089234202932,0.111885634193986,0.09537575118937,0.156954675489713,0.181985824627117,0.196995745015724
GO_AMINOGLYCAN_CATABOLIC_PROCESS,0.167085063315704,0.105424494255972,0.158685808086092,0.151477439987634,0.134525338690404,0.133696697891014,0.122738760763544,0.172468872071057,0.0965164586437424,0.11981765222511,0.106633256489576,0.134122915427336,0.112887983258403,0.142693181685129,0.117537161005911,0.117604721462835,0.113550164357081,0.112683049691209,0.110470084326368,0.0874428263374477,0.105206269535116,0.133236957617323,0.147665075930177,0.142760639891923,0.112523808415698,0.136449092615236,0.0764739646627719,0.0922621712565931,0.125784690809403,0.140506934872485,0.105921679523105,0.107808766870133,0.136633801654541,0.137404662987415,0.118511964018591,0.131429421452121,0.101636202200369,0.134768937504112,0.137242554437201,0.122869495921204,0.131016425800804,0.127581759395495,0.107878053308714,0.126915867555783,0.10478501439595,0.152655290125973,0.129287395797368,0.11719798960415,0.149810597598844,0.131978887259225,0.128866909551178,0.147713733157758,0.123282069498439,0.105256066844066,0.127964172368636
GO_BICARBONATE_TRANSPORT,-0.0381837694099279,-0.0151358393405732,0.0300988670577372,-0.0166931253863934,-0.0391359515003857,-0.0115153767003599,-0.0260188789841578,-0.0172081896619593,0.0258476016078064,-0.0486042932207171,-0.048205548500938,-0.0471030898407995,-0.0199285112453448,-0.00612247713952821,0.00353347796695216,-0.0485950388045146,-0.00819359703211918,0.00256742389155747,-0.0589566660148044,-0.0343990318643882,-0.0992662250885014,0.0374185268139354,-0.046966277002796,-0.0724545288917908,-0.0646571733570431,-0.00291731520814679,-0.0331284171444779,-0.0307682289886545,-0.0834924122368942,-0.00510440042934206,-0.00462356213505492,-0.0513191444081216,-0.0859763599235988,-0.0318084851671978,-0.0524237449500899,-0.00995200822528473,-0.0490290490027964,-0.0694180064683055,-0.13976935070278,-0.00699218757836557,-0.050155011521285,-0.0971050026959298,0.0102442780330726,-0.0435548905363373,-0.0351884999756832,-0.0555793168075475,-0.0840307513115785,-0.0811170750630374,-0.0435077969069975,-0.0137981406270562,-0.0604433615836367,-0.0766314073222859,-0.00454252991197553,-0.00697823013722636,-0.0444212481005982
GO_CARDIAC_MUSCLE_CELL_PROLIFERATION,0.0569895076515865,0.0608471417081142,0.0815399124268043,0.0771767477891762,0.0847284071870458,0.0887368623528644,0.0965639943152315,0.0779375968720481,0.115855713624654,0.0846750606759182,0.0925828033937327,0.0913867628308059,0.0637079403430647,0.0948857283787716,0.0713649500637079,0.0800322237774307,0.0693575009526141,0.0958858429792901,0.0784406870308852,0.0680956380342416,0.0871953937383588,0.0954638947719072,0.0531467189817003,0.0696388420955525,0.0938569777467085,0.0821892444259577,0.0651525291702559,0.0950474605069688,0.071003506473483,0.067857427590594,0.0849389889758484,0.0948237326223184,0.114391620965957,0.0533635461483529,0.0874743105836091,0.0957702617984678,0.0931175603671649,0.128070720514836,0.0596501000795649,0.0667622239314779,0.103910240167471,0.0818099180308429,0.138390888712937,0.0729585004952944,0.0808032111716033,0.150247143148249,0.0724908369742077,0.142704653340695,0.069957808790629,0.103010379059784,0.123190754529017,0.140497396353729,0.10233930979176,0.109491515797956,0.0806317432230312
GO_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS,0.188147494638877,0.202776167483963,0.140030974176631,0.153848015928433,0.119475662553671,0.212618435065415,0.131453708408525,0.18895820415727,0.182482810270611,0.128824830274993,0.0942005399527241,0.101900055305043,0.16968110378957,0.103875956011114,0.166055287556122,0.202041789120928,0.124418594257982,0.182893133420354,0.181865170173399,0.127755174040162,0.120566345965476,0.207155642926182,0.110962875426925,0.138664056407138,0.213442576402784,0.109314020782237,0.172703920962312,0.181905847288762,0.179295834906326,0.189261536481153,0.213812675998116,0.154071921375216,0.148017747515267,0.145034760650997,0.090057173799703,0.161166304355471,0.180460806908731,0.170075633046924,0.133834820448206,0.183100624906932,0.133546943210639,0.134334083748633,0.167828647477255,0.173354580589291,0.183910473560868,0.205939363877543,0.199317324762247,0.151114230384336,0.165337503623992,0.170541235528557,0.196400077992465,0.166999921247112,0.20885714741345,0.196257041817265,0.135492204246537
GO_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE,0.278171261666161,0.308030002478607,0.196581728330915,0.143645192581432,0.132290673691737,0.200673591012022,0.18576615387759,0.190069917834037,0.216941544501885,0.237344350260027,0.175456948606991,0.321287119168272,0.130597285469444,0.173739442343205,0.227959131994108,0.277350221076848,0.154397735051899,0.210181421370664,0.0631161465969548,0.157014975548295,0.239347202930954,0.389135334925642,0.2926357000632,0.22643055855957,0.260560012115707,0.0896677684032934,0.226951957308626,0.326070863982057,0.26663262542395,0.242451384891289,0.179049988884345,0.0904792603139554,0.13209274382191,0.291498410081089,0.189722456236706,0.302100004456702,0.261563573088135,0.238352212328248,0.205465324350711,0.195369450413919,0.223859677347518,0.098689017947656,0.303625359984853,0.218242633134135,0.242653529822809,0.248311726437601,0.233132084683946,0.161626440861202,0.151129320616312,0.240006080514951,0.257068447796128,0.241417648527599,0.216006869874842,0.117097817246725,0.314721183529511
GO_COLLAGEN_CATABOLIC_PROCESS,0.150830055720362,0.178287963876787,0.162419557282627,0.130833729986946,0.143806370452411,0.122071072891555,0.0939404425535692,0.158535724455004,0.158660881793928,0.131300894623356,0.0678658664272729,0.14458617730213,0.14991223592475,0.092017988090655,0.167332085862389,0.159491509403905,0.171968014242213,0.127208279508431,0.0864619702913112,0.144509175970504,0.149550169305894,0.190132709404373,0.146238174546352,0.142451287944315,0.121769173092704,0.148947681859792,0.160468358117233,0.197339542098158,0.13490514097781,0.15423766598026,0.153971433308962,0.128059049137381,0.139132659229977,0.140055362070106,0.161737615021098,0.155119052458628,0.127914847191622,0.144518082499547,0.153377675098925,0.103488327187536,0.17251620697258,0.13805808540085,0.15784218505716,0.200877300065235,0.191541812784985,0.121317883936572,0.149279178871415,0.158845768932497,0.145525939508218,0.17770553685252,0.124672997889208,0.142960437916986,0.142994193029948,0.100682548335489,0.131151644552094
GO_CONNECTIVE_TISSUE_DEVELOPMENT,0.11318275280591,0.117952284181145,0.0981349807428552,0.103571207369366,0.126313917717744,0.115119506104357,0.11215593817058,0.119922870950882,0.0977939323515332,0.114180343292495,0.0978279240633002,0.109209185252643,0.121929595825542,0.125589487840693,0.110948360051785,0.123923319343674,0.107468506784939,0.116512941495014,0.122599324732364,0.118897670506645,0.105877788764053,0.10868188418187,0.115580297008868,0.0954730987097223,0.117201782354982,0.114158961688591,0.119807040925835,0.127065397540707,0.104476687613793,0.115726110135417,0.115084438792944,0.125885177659657,0.117418805707671,0.12478968165802,0.102101184174115,0.114416531592268,0.107405103964895,0.115813661281964,0.0914246495310281,0.104077522651578,0.106174538784703,0.1150317013154,0.108018747002911,0.129603352345733,0.128997701585407,0.125654120803561,0.130399698993931,0.111473020079616,0.10576578747471,0.110837211803228,0.121306522910682,0.119798313176497,0.107035207556993,0.110412223712295,0.103667719692914
GO_EAR_DEVELOPMENT,0.0334675178033482,0.0359925581578059,0.0372746689249203,0.0235382435919559,0.0252483797604962,0.0267969212943504,0.0281414107703926,0.0264751242244924,0.0173862276219696,0.0211370806420939,0.0455245487467811,0.041873372457195,0.0621457448651017,0.0463083855695949,0.0235737969474019,0.0463509732160287,0.0582107015142709,0.0475665170655402,0.0452527988699289,0.0303459535319972,0.0425456762153056,0.0466226105392522,0.0355142429894526,0.0505628445053007,0.03072074806633,0.0356944381201664,0.0399808525090181,0.0212236076995562,0.0167088289549356,0.0372846710819794,0.0406770819034139,0.0290572002560402,0.0359059908325217,0.0352530023731193,0.0365750736087408,0.017552096097487,0.0423613813083308,0.0321990173155177,0.0459994865662429,0.0599303043860936,0.0349411532166947,0.0609001826257714,0.0255725932191612,0.0405524309525499,0.0572772110352354,0.0406527235391442,0.0492399193876645,0.0425834626542459,0.0380312563259673,0.057186942740801,0.0411070519944739,0.0556533739935544,0.0324797392351097,0.0331858700968824,0.00698753038149398
GO_EMBRYO_IMPLANTATION,0.223664566326314,0.283873318852594,0.214799664265529,0.20627178787604,0.26910393253704,0.225321053216728,0.261677473518362,0.245050132828526,0.252981157858939,0.242921253085677,0.220254221542683,0.245076447674589,0.235956721205792,0.252706317783967,0.233465441351689,0.22748622260461,0.267674326559547,0.232045162397207,0.24675895278779,0.260549106303072,0.25467417405246,0.27383153181522,0.191290900132509,0.240832869004674,0.22142643477619,0.22601294824666,0.246349700123296,0.270730632547938,0.215760549712877,0.254362728519822,0.248295791887615,0.244822699531194,0.274918698380686,0.217869620643421,0.22863399337233,0.25504712838369,0.286774128289737,0.24221767819128,0.231961561343113,0.272933595150197,0.20012817226036,0.283873170771717,0.24001176744583,0.23974027887345,0.22752566471194,0.284151653648573,0.237916136370773,0.255086755243008,0.261590106403884,0.260812672893689,0.230705724930466,0.223838621915928,0.254539180572809,0.225374106069543,0.244544059633
GO_ENDOCHONDRAL_BONE_MORPHOGENESIS,0.121907184841159,0.109591900323068,0.0808065534092594,0.100483598560352,0.101555513821557,0.110293163723057,0.0707331761808709,0.11541661959691,0.112291658095892,0.0750912563112101,0.063319237932433,0.0811325834496304,0.122408132629714,0.11572158329627,0.0822434628511866,0.131125512825837,0.0847626725476259,0.123348681557635,0.0930380301634673,0.0890131828025589,0.0818762255282935,0.135033893877,0.0692754152143842,0.108768863903903,0.128644852921107,0.0841747022987524,0.127928166712478,0.126207009829934,0.0964533637657151,0.0985785466464159,0.148180899728015,0.101572482004167,0.116472725990093,0.0920812086115623,0.0887006571919422,0.108794199481827,0.117091008477246,0.12904886358829,0.0910985918573656,0.124133902958484,0.092855012387818,0.0895642554997619,0.122433752474035,0.106701924603471,0.129243209323646,0.14111332268896,0.12149267763426,0.0968141384055568,0.0985737104733335,0.0952448875247702,0.130410543933755,0.113159274317566,0.135848597113848,0.143700656157142,0.0774327087297656
GO_ENDOCRINE_HORMONE_SECRETION,-0.0325266220839555,-0.066714517719694,-0.081554985116224,0.00299755479762274,-0.0370520533074066,0.00296475471912782,-0.0742050704575081,-0.112167306667805,-0.0304185598495219,-0.0719250702821332,-0.0349273801256602,-0.0675423423440639,-0.065340230004535,-0.053823986405333,-0.0427361704784095,-0.0863661802077639,-0.0445301732907616,0.0185937875813803,-3.72289003320437e-05,-0.0266181839967002,-0.0236467827296213,-0.0633631948699072,-0.0567581949123783,-0.0618035510061454,-0.0780404751335083,-0.00619944002580719,-0.0198622833441748,-0.0213773538872058,-0.034659449325659,0.00524025324013942,0.000689453035692354,-0.0327833071406985,-0.0329096931086574,-0.0392210204753973,-0.0362377642382538,-0.097936109158309,-0.0421301508360169,-0.0503778335566074,-0.0754939401561886,-0.0712498139782438,-0.0551182296807552,-0.0221139966275466,-0.0810588358609044,-0.0690472988407521,-0.0914610823355805,-0.0661383394998901,-0.0801633691797307,-0.0349531033713898,-0.0805463845165622,0.0139005247308612,-0.0278495498431346,-5.03868127173827e-05,-0.0060398197857442,-0.0548034740455786,-0.0423880567948014
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,0.154697069735708,0.194581444505984,0.184885511098497,0.182969874440593,0.16273455730115,0.170250734213397,0.167749477515376,0.198884517113904,0.181167558373511,0.17882376762012,0.128894846457445,0.153446204937232,0.16671162520491,0.157384724890026,0.202936846801417,0.196410768585108,0.178254018515351,0.172874369760436,0.164150568386654,0.170576750412176,0.186583917381221,0.202266744772483,0.191656616798478,0.180380064230459,0.168130793774537,0.181935372426059,0.166157229462461,0.200080395047281,0.158896096132943,0.175247740412324,0.198777011175188,0.134589971821536,0.227140798450011,0.172489532050731,0.175212646863039,0.156218907023285,0.17040976810287,0.159307676601678,0.202863176882235,0.154872636294376,0.204532067609608,0.142724770722354,0.171437077097845,0.169765553366447,0.182599898485209,0.156236947207549,0.177970805506774,0.202161599498727,0.174282451070127,0.152322711221316,0.19433317910539,0.162217715886204,0.160349227847116,0.16492989708839,0.161525961727636
GO_IMMUNE_RESPONSE_TO_TUMOR_CELL,0.0932820488778946,0.0221297902429067,0.14748289947046,0.0561401986838531,0.0690822847859478,0.153143024544259,0.0623588477730642,0.0844306139041343,0.152096775228072,0.110701363534039,0.127812866857059,0.0891937449398808,0.0594816014110647,0.0575547052334164,0.0582017411923294,0.0841674849569288,0.0873962797330886,0.086058351634031,0.080525950927594,0.118946415588266,0.0782844174549401,0.103214627907651,0.097498748870337,0.0399921220335517,0.111794854141231,0.122131936704905,0.073667550791539,0.100918246378437,0.0582473333686604,0.101684581424094,0.0662535316234154,0.0667478165334831,0.0858605974464799,0.131328658357491,0.123788759159856,0.0861312757639934,0.0901447044867674,0.106988893238898,0.0880014497871733,0.102160223871839,0.125367226063686,0.0699896453110765,0.0428985499221299,0.108993973698635,0.0981632123058503,0.104760139738824,0.114906129839239,0.0547068352220365,0.069208079934944,0.0698806982005576,0.0914861744433251,0.0445612398311049,0.0481313094695712,0.0986278857971518,0.0862924442618206
GO_INCLUSION_BODY_ASSEMBLY,0.301491706873991,0.354001866992341,0.35744148352879,0.334737747833811,0.332704474862503,0.32812469224626,0.361923848715228,0.336448808982439,0.363439212898321,0.369211151696013,0.325913488246131,0.352020868375315,0.360992657000599,0.322392293310573,0.321182549467307,0.365281811009133,0.333356060375913,0.317420578092165,0.399927372030488,0.339934668110439,0.338929121528044,0.35143554862986,0.348721955875717,0.313720777963761,0.324662893136935,0.328356328891646,0.277992539397832,0.339403409610668,0.325980640478403,0.316748859878432,0.391085379709224,0.374674914443624,0.333394458962551,0.365522700236938,0.348595085135627,0.349613438762061,0.362623526380429,0.341074630482807,0.353184566684407,0.350804919428989,0.292957434455605,0.362727259405079,0.35925976679526,0.362619357776782,0.295186551097755,0.330741784740608,0.34072426251455,0.307017299194584,0.354376409453032,0.317856816779583,0.341853502569593,0.325244124505829,0.305930012670274,0.360711424064194,0.369628615541456
GO_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM,0.288728065201726,0.261774248678945,0.23407421604897,0.31327453831551,0.292936027796324,0.233930115270796,0.270432435911252,0.234476346918467,0.287053318242694,0.248379128865938,0.305994716202288,0.259845368781922,0.26684519824827,0.235658048193168,0.273578185008217,0.253728995670109,0.19811339301376,0.250908800308608,0.237247890702962,0.255544990740764,0.265712606550106,0.278559176774483,0.291272195788087,0.289426567189896,0.252353513087346,0.2530189093454,0.281433674311957,0.240550036737876,0.216139519803367,0.287488674619622,0.291808855253904,0.270585615767149,0.262956312218758,0.250933610582772,0.28982961617311,0.259387211982547,0.320388736293432,0.256806420444957,0.246790019657596,0.286120726074362,0.246892461382304,0.26557569434825,0.262555288815297,0.284991574157663,0.273317163923611,0.296937895411071,0.275745377042557,0.265963361656369,0.247022751733334,0.244732856673191,0.267719099650155,0.175258245876415,0.286459224880625,0.283341103209682,0.251863784773261
GO_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT,0.0432565237207936,0.051335397163759,0.086667003881038,0.0754104247461807,0.105734002282458,0.116006278546043,0.105844123239095,0.0542538771138653,0.145045264690566,0.102114152551262,0.0770426593536137,0.0601469785863284,0.0161075625658604,0.181727194836734,0.0504919855646114,0.0676239922773455,0.0310750116210888,0.0962257233419008,0.0729617935059472,0.00496164312919631,0.112239294978874,0.0760265082318738,0.0722731039177359,0.0659359045506364,0.061884399843256,0.000759401112062579,0.0719867636580523,0.134737054211687,0.0892905483142484,0.104312604257136,0.0450254827659304,0.0737403527556003,0.16046022590869,0.0776266430284051,0.0802334164727945,0.135599835167965,0.0491684824214469,0.119151869067173,0.0705959283850215,0.116183094833755,0.133279454184269,0.0969979942915054,0.0795234901294278,0.0882896344752963,0.0470887902994376,0.15287582668676,0.0787407583826775,0.00212548699016032,0.00477036028356083,0.0672930154192762,0.0461867922888001,0.102156381564758,0.0418349054738643,0.054688596555837,0.090308728716162
GO_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM,-0.0590327465371909,-0.031927557706942,-0.0520042187214193,-0.0211443222675081,-0.0599447086336486,0.0262995868477489,0.0183218032143398,-0.0576608535396261,-0.0212272849313441,0.00486404890385363,0.00853291805924135,0.0232579803839256,-0.00155742525977808,-0.0390384288802341,0.0389445405362772,-0.0162120790725434,-0.0487995633183505,0.0142165315889072,-0.0403153744353109,-0.00808537137078441,0.0170095343982989,-0.0595029208005926,-0.0248124980488222,0.00045381443332037,-0.0381546943421116,-0.0144966401935007,-0.0631377056154278,-0.0655369237468784,-0.0358811507241119,0.00483163113917676,0.00766202228183603,-0.0820251633165164,0.00544045750452549,-7.11656882658505e-05,-0.0619873111735164,-0.0511775331247013,-0.0453234462356562,-0.060788349124056,-0.0379170589661563,-0.063426606434432,0.0144881345427648,0.0196792832144674,0.0313208488029303,0.0280379490901123,-0.0490884266265392,0.00467968009365994,-0.050370974464275,-0.0729937728418532,-0.00509797898842236,-0.0152911506835529,-0.021820581995529,-0.0317989887639179,-0.0571241779218483,-0.0276066592271987,0.00514805357103212
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,0.0441917721285386,0.137582346536814,-0.00344060117752468,0.0903922513244566,0.0861901372367835,0.0162695140393462,0.0990191278661282,0.0919450259186354,0.0114935162769802,0.0150369161245999,0.0653432132221098,0.0762343205087418,0.0642158163637871,0.0754844156863815,0.0374259248570309,0.0949878843513774,0.104525918997696,0.0656473814949845,0.073399123439157,0.07793848755198,0.115975068249517,0.164049066635185,0.127283247077805,0.0622808505675679,-0.0236528344623181,0.0548605040959827,0.103167234315308,0.0246605600946598,0.127549625936335,0.0478377396478837,0.0312268158484543,0.0565633253876185,0.121383553669878,0.0214927324084732,0.152137571121454,0.125459610977082,0.078504855433287,0.0980004506943252,0.0305044603082785,0.0545476493146396,0.024026706346973,0.00646841787124499,0.0305749769232119,0.118759110847655,0.0977075746629888,0.0811487724208063,0.0457600996275181,0.135157717153105,0.0721608351204948,0.115655324917558,0.165195251107142,0.114885626436034,0.133968330530872,0.064322123795638,0.0833540042663415
GO_NEGATIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,0.128545648916964,0.163546092458813,0.137399770123417,0.1372709386209,0.162453640258295,0.149740158709219,0.112341957373704,0.191068099993707,0.129320840603089,0.139490150493529,0.176311152344257,0.172193047336413,0.153110071213167,0.149174342127249,0.167384372077401,0.163587367435031,0.190130741107981,0.135804882456348,0.179309680031404,0.149420655891176,0.128350236641545,0.190148501634193,0.215943852572806,0.15368688972982,0.148171142784257,0.0847473720086351,0.192075491991336,0.177312463377979,0.16862753058693,0.13399017455656,0.147371311939729,0.13541814786077,0.152263107425422,0.113182623742149,0.144216380475222,0.202948109462988,0.202522543040566,0.16816941541526,0.125704142190037,0.12139873110505,0.0778562388673643,0.123843195050704,0.137999617380758,0.20239240865879,0.2053951736796,0.205440966534824,0.173144093528999,0.180333430616275,0.162124743984608,0.134210501083187,0.205612809066085,0.228587791871214,0.127875509254258,0.108215918563889,0.0738634397571988
GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,0.118734311501037,0.0971154575842051,0.114903898719547,0.139758198276844,0.134319764394375,0.111923680615901,0.140287355097037,0.11565215458127,0.0567832864172189,0.173548610092195,0.142038888178176,0.14740183796525,0.0869168819471022,0.164927331343807,0.129784722037113,0.0639267082718848,0.131878416809949,0.0746113696499101,0.111887703171971,0.0661772825903659,0.101010481096369,0.077650132175551,0.114747939442571,0.228097581162397,0.107536643608075,0.122957995937996,0.178772554550141,0.136676164038485,0.0913976330888284,0.131554981905407,0.11410475331052,0.07151453953446,0.0916736244681866,0.15901262670491,0.134919120421514,0.105612714691926,0.130279316075069,0.118885582520332,0.145634826046522,0.133166236806599,0.159191938408344,0.115553448504196,0.120441237562633,0.145602092833796,0.156681796240413,0.154696318178778,0.098434328862482,0.115272142613149,0.0983814429064169,0.109199942209171,0.155348028172696,0.140532807925982,0.139769129777097,0.101803316911174,0.115477697198692
