,p227,p359,p533,p149,p160,p2,p261,p486,p367,p455,p523,p276,p393,p385,p168,p75,p42,p416,p311,p316,p30,p494,p467,p376,p13,p256,p141,p262,p197,p52,p445,p291,p532,p55,p332,p214,p157,p428,p51,p457,p324,p409,p208,p340,p16,p54,p108,p460,p279,p358,p90,p357,p435,p405,p150
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.271320424975244,0.299567275813949,0.258967193548611,0.278200963210164,0.263667813172301,0.288460978542629,0.279674280508101,0.290262539664903,0.240135886683252,0.271827858315959,0.264379033975358,0.285460944828644,0.301345016557098,0.294986468024865,0.2766494348982,0.270150873921938,0.278473901638997,0.267706599636573,0.244234962465691,0.25421464783917,0.31183691888496,0.297061563938392,0.269840518207129,0.276464780621496,0.272055066007053,0.277530679363772,0.251744610620884,0.232248447264801,0.288268490778677,0.262356328974328,0.274088417727048,0.238485850919312,0.305220659548094,0.263679325984242,0.258409805089863,0.293146152844113,0.245981540004047,0.285331832975838,0.254785920195957,0.269899527980253,0.275972789902216,0.276269342872149,0.284656980959943,0.242316608366877,0.257155610917956,0.262547510001948,0.261287091353297,0.26284989643858,0.284170781557801,0.285522582578766,0.270301997551144,0.271754903934272,0.25847063653884,0.277489599576428,0.265230551699584
HALLMARK_HYPOXIA,0.3335473963002,0.367381895454423,0.366830529013104,0.344052049511746,0.321980236565395,0.377980674859277,0.365616402231271,0.376538278564395,0.334027684257158,0.363708029653541,0.331114491021206,0.351227801980245,0.372849254225675,0.366248452807968,0.368754522326354,0.373431727345127,0.373567184250475,0.362130117951198,0.375749036575377,0.324194023052626,0.374443439653365,0.361553644438824,0.368166653645754,0.365181071907225,0.359911644385571,0.366611170541942,0.350412997894409,0.330856515719888,0.370650213802472,0.364200995832567,0.381762507068221,0.362317492385412,0.366708072282547,0.376643529264653,0.370459074440048,0.363330931136238,0.311766685787683,0.371966483532686,0.334829546928214,0.394073758932104,0.35985878069065,0.370820586432566,0.374563133365002,0.330644641103472,0.378089451942904,0.351557288628568,0.34740370015194,0.323824258890588,0.37396740557719,0.337174939685528,0.351377396661966,0.324445975892723,0.358972658125841,0.357951549577655,0.345020763981663
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.424129055994699,0.406183676666634,0.436100350213416,0.426251279758849,0.381238606333102,0.394478147982017,0.4428778346962,0.456296410400038,0.437806724160079,0.432322338786813,0.39561276758239,0.411692981215407,0.408282335598769,0.44913325204032,0.425987088005132,0.37946993282377,0.45002586794396,0.419221719683369,0.334719809842855,0.422341295653688,0.429635887348784,0.46743938357187,0.453778676098152,0.422171453868124,0.459866085679333,0.420433731002536,0.340810225165925,0.455643254175949,0.448024198807779,0.367510499129469,0.39157211983876,0.400376008166154,0.395225882802465,0.389887649586982,0.393261084855298,0.417669389477165,0.43193386343211,0.434873837337161,0.367631350744548,0.4075763629932,0.389776673367209,0.395902727951477,0.395970100397161,0.450270533147533,0.391731469724117,0.386727353700406,0.378574043796424,0.419508399730236,0.435799916480023,0.389699663932382,0.425732779500659,0.388966029705243,0.383700625125969,0.408324154735352,0.360836848176768
HALLMARK_MITOTIC_SPINDLE,0.466262942023559,0.466986745645013,0.465460111692966,0.435444231784283,0.487281615417558,0.451026669632005,0.491582186310318,0.487362551823921,0.440423755139344,0.452622365993325,0.49316813309555,0.448416144800646,0.449514901718976,0.474539010718611,0.444659952979023,0.430266443519337,0.436148064789906,0.461828201969687,0.449219628928619,0.443193729501196,0.456877009620602,0.476070753274029,0.476625970261852,0.47141096031647,0.458836183612812,0.42942089434182,0.472338913110952,0.462615708704631,0.448018263695411,0.459584367797007,0.445289992496029,0.452288346356447,0.448276538430538,0.43695399654756,0.4349093128509,0.455603525505875,0.464561389272837,0.475857740144682,0.451003200227094,0.461927742557469,0.463529158501455,0.457477072847723,0.46007562110147,0.432654032564807,0.431135753953738,0.443622264605689,0.459980168550985,0.47300612664025,0.442921044472014,0.445218870053131,0.460792262381684,0.461299720564292,0.449572861822979,0.442141295183114,0.467856183245407
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.214680232570655,0.225470264420207,0.156425667595421,0.173608465612972,0.138073363182881,0.234921607165126,0.173153147576702,0.142872024355727,0.151677823165242,0.143752145780865,0.216854261830143,0.224331205927589,0.320636868557832,0.219917726119124,0.244509054571626,0.248998542354558,0.211372135745292,0.201732934364501,0.181601099253897,0.21228144704988,0.238030531049657,0.1368143566453,0.184479503120344,0.197675164599397,0.186948298209134,0.202370712402247,0.115450665287338,0.129827481092395,0.113517206957279,0.203175091662897,0.196854220056872,0.204131053929452,0.194788282663134,0.154909344585331,0.153356719335599,0.216991943507199,0.260617479332291,0.20121239121942,0.153583773869871,0.189453291997676,0.176806913207811,0.167764732763318,0.218247185175408,0.162774605886882,0.19336607416732,0.205480073228555,0.171966426974861,0.111029466944901,0.135122593181876,0.189464238830559,0.172252635776481,0.207502468845278,0.173179596267766,0.231183525187951,0.199845265419906
HALLMARK_TGF_BETA_SIGNALING,0.525663991033872,0.512567403171041,0.476702017133774,0.521908076411225,0.539965790420536,0.562739332149535,0.53147457603678,0.497567078477129,0.529798195697756,0.55469032288438,0.511339756170035,0.507587121342847,0.4799733794063,0.536358912199995,0.540635287907739,0.460752661504966,0.512776027561845,0.518278579920977,0.545086603787277,0.490279302715703,0.533419820425014,0.465220842710637,0.493793884205032,0.537820347118415,0.50919052048741,0.522272178977689,0.515118979437176,0.507797323988382,0.599609988735032,0.493744326579268,0.520751173009503,0.482707366920057,0.534503096175494,0.505245951315976,0.520324860516532,0.529407028571299,0.524737880506712,0.543796788583535,0.471928079511558,0.533553845507956,0.541443372020856,0.484357619941068,0.525716662224338,0.511381438634156,0.517091301991204,0.471172087679789,0.57802562630546,0.509149349184439,0.533629732174857,0.525539474688592,0.547552576007408,0.513261495698097,0.448777583604891,0.53075972913037,0.567543121570198
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.340171860022193,0.325697019628511,0.297527483853431,0.364059925130158,0.234667977856039,0.292235603653092,0.269096638921781,0.317684593131013,0.350550306010865,0.256357697681741,0.295502914703116,0.356165509220436,0.306282346103978,0.321855594890986,0.281763210399623,0.265549061587793,0.339138899584422,0.289983381785885,0.309685935715849,0.301650740260259,0.299286060001633,0.294391558171756,0.360895453310313,0.331363095495155,0.342396018066239,0.340211291450476,0.257192672951669,0.348976428088286,0.295133853097481,0.286578050237145,0.325574166211099,0.299174412644196,0.309554919509887,0.300351107725759,0.303339233604265,0.324844045574029,0.249857072555058,0.270613073093968,0.290104892340683,0.249606365360528,0.29645026440357,0.312037572887992,0.330578696310889,0.276132529162641,0.267378163233869,0.342796162648511,0.28982008856885,0.284088472200411,0.341566936253879,0.289714437599022,0.331040903576902,0.275407761587347,0.265657225302526,0.311100298346902,0.310325649757289
HALLMARK_DNA_REPAIR,0.435591306096866,0.427135008158058,0.427820669587596,0.424659861688771,0.410607355456703,0.427172273490983,0.414172811258642,0.421532468658633,0.405362611407386,0.430452718123332,0.434493105251875,0.397928040509562,0.430672078512782,0.433575535287219,0.437678298162435,0.421816636240969,0.4205237561724,0.437541087281385,0.421728487486536,0.410493781633803,0.434410671210529,0.388770277271672,0.423297189768691,0.443080394820921,0.429594104262993,0.437196873470605,0.395768615344289,0.429098136903766,0.419323876570068,0.404328666753315,0.421823641522519,0.417399639718493,0.412866787803694,0.415509055589868,0.40969037763935,0.421087388358593,0.42132873674749,0.418444267199005,0.436703826202622,0.395555734353299,0.401414274202867,0.427850651653443,0.395995609608643,0.432658128076334,0.402390092980585,0.412500525773364,0.421929256771544,0.428903003220712,0.396942648188124,0.43498808624734,0.434988419363723,0.396089393896065,0.412350716691741,0.44831981234811,0.425293609278796
HALLMARK_G2M_CHECKPOINT,0.386494145008047,0.370065290466645,0.366457660443427,0.362995159826809,0.367484243669453,0.385696511959795,0.400785967695253,0.375636912750001,0.366699193256029,0.349451160840744,0.412971522884765,0.371434773486436,0.363705655507932,0.365802700105248,0.332927350834146,0.374864161831177,0.34994035225555,0.366300877661246,0.390255274778521,0.353803540958103,0.383659166208099,0.358456859780309,0.374788922516299,0.401713797255696,0.401243496459734,0.383666373743602,0.369802625868703,0.379201981861232,0.380437110239054,0.376138063049431,0.372399932956272,0.360777210488568,0.370746423801935,0.417667161093926,0.393506833408922,0.368786549260451,0.391935804790984,0.364853911986722,0.344024605395346,0.364699324465263,0.384555212783886,0.370296130117912,0.370515863880022,0.376457577398047,0.363675829052016,0.370355391977064,0.378682799611106,0.380377919080981,0.381060603421745,0.394936662829262,0.370571867862643,0.38510455784114,0.361851907282432,0.369432773083061,0.388821944695384
HALLMARK_APOPTOSIS,0.413478057140838,0.408401693437074,0.40395595957148,0.424399652032254,0.39907504904852,0.410178472924888,0.41206198131475,0.40374352470345,0.444754842751899,0.438886869744677,0.415110854817959,0.400968406306206,0.407640902464942,0.427547063184604,0.415198024531865,0.404827850081674,0.414574712005039,0.405553526290681,0.436819674104776,0.394168909976458,0.421949382928341,0.414120624461992,0.414021569817277,0.419012735197595,0.409775317721893,0.437372216043202,0.417573429713924,0.433149917548968,0.423471769613213,0.401138117189038,0.410061358553755,0.396548071299858,0.433289172183182,0.403493007328094,0.411101864706887,0.414779611007559,0.413268804012281,0.430230866278713,0.426077562334511,0.419859943060318,0.432183338154085,0.416766993405999,0.413876636152902,0.388186346929036,0.434710120829017,0.427363336754832,0.427545919818884,0.423152139466395,0.426387370897544,0.434547569248263,0.42701504099697,0.419664696921944,0.391187843935534,0.420563196936976,0.427535549592675
